CPU,Release,Socket
14900K,2023,LGA 1700
14900KF,2023,LGA 1700
14900,2023,LGA 1700
14900F,2023,LGA 1700
14900T,2023,LGA 1700
14790F,2023,LGA 1700
14700K,2023,LGA 1700
14700KF,2023,LGA 1700
14700,2023,LGA 1700
14700F,2023,LGA 1700
14700T,2023,LGA 1700
14600K,2023,LGA 1700
14600KF,2023,LGA 1700
14600,2023,LGA 1700
14600T,2023,LGA 1700
14500,2023,LGA 1700
14500T,2023,LGA 1700
14490F,2023,LGA 1700
14400,2023,LGA 1700
14400F,2023,LGA 1700
14400T,2023,LGA 1700
14100,2023,LGA 1700
14100F,2023,LGA 1700
14100T,2023,LGA 1700
300,2023,LGA 1700
300T,2023,LGA 1700
13900KS,2022,LGA 1700
13900K,2022,LGA 1700
13900KF,2022,LGA 1700
13900,2022,LGA 1700
13900F,2022,LGA 1700
13900T,2022,LGA 1700
13700K,2022,LGA 1700
13700KF,2022,LGA 1700
13700,2022,LGA 1700
13700F,2022,LGA 1700
13700T,2022,LGA 1700
13600K,2022,LGA 1700
13600KF,2022,LGA 1700
13600,2022,LGA 1700
13600T,2022,LGA 1700
13500,2022,LGA 1700
13500T,2022,LGA 1700
13400,2022,LGA 1700
13400F,2022,LGA 1700
13400T,2022,LGA 1700
13420H,2022,LGA 1700
13100,2022,LGA 1700
13100F,2022,LGA 1700
13100T,2022,LGA 1700
12900K,2021,LGA 1200
12900KF,2021,LGA 1200
12900KS,2021,LGA 1200
12900,2021,LGA 1200
12900F,2021,LGA 1200
12900T,2021,LGA 1200
12700K,2021,LGA 1200
12700KF,2021,LGA 1200
12700,2021,LGA 1200
12700F,2021,LGA 1200
12700T,2021,LGA 1200
12600K,2021,LGA 1200
12600KF,2021,LGA 1200
12600,2021,LGA 1200
12600T,2021,LGA 1200
12500,2021,LGA 1200
12500T,2021,LGA 1200
12400,2021,LGA 1200
12400F,2021,LGA 1200
12400T,2021,LGA 1200
12300,2021,LGA 1200
12300T,2021,LGA 1200
12100,2021,LGA 1200
12100F,2021,LGA 1200
12100T,2021,LGA 1200
G7400,2021,LGA 1200
G7400T,2021,LGA 1200
G6900,2021,LGA 1200
