Name,Socket,Form Factor,Max Memory,Memory Slots,Rating,Rating Count,Price
 Asus ROG STRIX B650-A GAMING WIFI  ,AM5,ATX,192 GB,4,5, 23,$259.99
 MSI B650 GAMING PLUS WIFI  ,AM5,ATX,192 GB,4,5, 6,$159.99
 MSI B760 GAMING PLUS WIFI  ,LGA1700,ATX,192 GB,4,5, 4,$159.99
 MSI B550 GAMING GEN3  ,AM4,ATX,128 GB,4,4, 3,$99.99
 MSI PRO Z790-A MAX WIFI  ,LGA1700,ATX,192 GB,4,5, 4,$239.99
 Gigabyte B650 GAMING X AX  ,AM5,ATX,192 GB,4,5, 21,$190.71
 Gigabyte B550M K  ,AM4,Micro ATX,128 GB,4,4, 5,$84.99
 MSI MAG B650 TOMAHAWK WIFI  ,AM5,ATX,192 GB,4,5, 48,$199.99
 ASRock B660M Pro RS  ,LGA1700,Micro ATX,128 GB,4,5, 12,$94.99
 MSI PRO B650M-A WIFI  ,AM5,Micro ATX,192 GB,4,5, 16,$149.99
 MSI B450M-A PRO MAX II  ,AM4,Micro ATX,64 GB,2,0, 0,$69.98
 ASRock B650M Pro RS WiFi  ,AM5,Micro ATX,192 GB,4,5, 19,$210.35
 Asus ROG STRIX B550-F GAMING WIFI II  ,AM4,ATX,128 GB,4,5, 18,$189.99
 Asus PRIME B550M-A WIFI II  ,AM4,Micro ATX,128 GB,4,4, 11,$129.99
 Gigabyte B650 AORUS ELITE AX  ,AM5,ATX,192 GB,4,4, 65,$209.99
 MSI MAG B550 TOMAHAWK MAX WIFI  ,AM4,ATX,128 GB,4,5, 15,$169.99
 ASRock B650M Pro RS  ,AM5,Micro ATX,192 GB,4,5, 6,$129.99
 Gigabyte Z790 AORUS ELITE AX  ,LGA1700,ATX,192 GB,4,5, 17,$229.99
 Asus ROG MAXIMUS Z790 DARK HERO  ,LGA1700,ATX,192 GB,4,5, 3,$649.99
 Asus ROG STRIX B650E-F GAMING WIFI  ,AM5,ATX,192 GB,4,4, 37,$261.62
 MSI PRO B650M-P  ,AM5,Micro ATX,192 GB,4,5, 7,$119.99
 MSI MAG Z790 TOMAHAWK WIFI  ,LGA1700,ATX,192 GB,4,5, 24,$229.99
 MSI PRO B550M-VC WIFI  ,AM4,Micro ATX,128 GB,4,5, 36,$109.99
 Asus ROG ZENITH II EXTREME ALPHA  ,sTRX4,EATX,256 GB,8,5, 4,$2059.00
 MSI MAG X670E TOMAHAWK WIFI  ,AM5,ATX,192 GB,4,5, 11,$279.99
 Asus TUF GAMING B550-PLUS WIFI II  ,AM4,ATX,128 GB,4,4, 22,$164.92
 MSI PRO B760-P WIFI DDR4  ,LGA1700,ATX,128 GB,4,5, 6,$159.99
 MSI PRO Z790-P WIFI  ,LGA1700,ATX,192 GB,4,5, 20,$189.99
 Gigabyte B650 AORUS ELITE AX ICE  ,AM5,ATX,192 GB,4,5, 5,$219.99
 MSI B550-A PRO  ,AM4,ATX,128 GB,4,5, 110,$109.99
