CPU,Release,Socket
1800X,2017,AM4
PRO 1700X,2017,AM4
1700X,2017,AM4
PRO 1700,2017,AM4
1700,2017,AM4
1600X,2017,AM4
PRO 1600,2017,AM4
1600,2017,AM4
1500X,2017,AM4
PRO 1500,2017,AM4
1400,2017,AM4
1300X,2017,AM4
PRO 1300,2017,AM4
PRO 1200,2017,AM4
1200,2017,AM4
2400G,2018,AM4
2400GE,2018,AM4
2200G,2018,AM4
2200GE,2018,AM4
PRO 2100GE,2018,AM4
2700X,2018,AM4
2700,2018,AM4
2700E,2018,AM4
2600X,2018,AM4
2600,2018,AM4
2600E,2018,AM4
1600,2018,AM4
2500X,2018,AM4
2300X,2018,AM4
1200(AF),2018,AM4
PRO 3400G,2019,AM4
3400G,2019,AM4
PRO 3400GE,2019,AM4
PRO 3350G,2019,AM4
PRO 3350GE,2019,AM4
PRO 3200G,2019,AM4
3200G,2019,AM4
3200GE,2019,AM4
PRO 3200GE,2019,AM4
3950X,2019,AM4
3900XT,2019,AM4
3900X,2019,AM4
3900,2019,AM4
3800XT,2019,AM4
3800X,2019,AM4
3700X,2019,AM4
3600XT,2019,AM4
3600X,2019,AM4
3600,2019,AM4
3500X,2019,AM4
3500,2019,AM4
3300X,2019,AM4
3100,2019,AM4
4800S,2020,AM4
4700S,2020,AM4
4500,2020,AM4
4100,2020,AM4
4700G,2020,AM4
4700GE,2020,AM4
4600G,2020,AM4
4600GE,2020,AM4
4300G,2020,AM4
4300GE,2020,AM4
5950X,2021,AM4
5900X,2021,AM4
5900,2021,AM4
Pro 5945,2021,AM4
5800X3D,2021,AM4
5800X,2021,AM4
5800,2021,AM4
5700X3D,2021,AM4
5700X,2021,AM4
Pro 5845,2021,AM4
5600X3D,2021,AM4
5600X,2021,AM4
5600,2021,AM4
Pro 5645,2021,AM4
5700,2021,AM4
5500,2021,AM4
5100,2021,AM4
5700G,2021,AM4
5700GE,2021,AM4
5600GT,2021,AM4
5600G,2021,AM4
5600GE,2021,AM4
5500GT,2021,AM4
5300G,2021,AM4
5300GE,2021,AM4
7950X3D,2022,AM5
7950X,2022,AM5
7900X3D,2022,AM5
7900X,2022,AM5
7900,2022,AM5
PRO 7945,2022,AM5
7800X3D,2022,AM5
7700X,2022,AM5
7700,2022,AM5
PRO 7745,2022,AM5
7600X,2022,AM5
7600,2022,AM5
PRO 7645,2022,AM5
7500F,2022,AM5
8700G,2024,AM5
8600G,2024,AM5
8500G,2024,AM5
8300G,2024,AM5
