Brand,Model,Core_Count,Performance_Core_Clock,Boost_Clock,TDP,Integrated_Graphics,Sockets_Supported,Rating,Rating_Count,Price,Socket_Type,Release_Year,CPU_Release_Performance
0,Core i5-14600K  ,14,3.5,5.3,125,2,1,5,5,299.99,3,2023,3
0,Core i5-14600KF  ,14,3.5,5.3,125,0,1,5,3,279.99,3,2023,3
0,Core i7-14700K  ,20,3.4,5.6,125,2,1,5,14,399.99,3,2023,3
0,Core i7-14700KF  ,20,3.4,5.6,125,0,1,5,3,377.56,3,2023,3
0,Core i9-14900K  ,24,3.2,6.0,125,2,1,5,13,544.99,3,2023,4
0,Core i9-14900KF  ,24,3.2,6.0,125,0,1,5,3,539.0,3,2023,4
0,Core i3-13100  ,4,3.4,4.5,60,8,1,5,1,147.99,3,2023,1
0,Core i3-13100F  ,4,3.4,4.5,58,0,1,5,4,119.99,3,2023,1
0,Core i5-13400  ,10,2.5,4.6,65,8,1,5,4,228.99,3,2023,1
0,Core i5-13400F  ,10,2.5,4.6,65,0,1,5,13,185.99,3,2023,1
0,Core i5-13500  ,14,2.5,4.8,65,2,1,5,15,244.85,3,2023,2
0,Core i7-13700  ,16,2.1,5.2,65,2,1,5,3,339.99,3,2023,3
0,Core i7-13700F  ,16,2.1,5.2,65,0,1,5,2,360.74,3,2023,3
0,Core i9-13900  ,24,2.0,5.6,65,2,1,5,2,567.98,3,2023,3
0,Core i9-13900F  ,24,2.0,5.6,65,0,1,0,0,469.99,3,2023,3
0,Core i9-13900KS  ,24,3.0,6.0,150,2,1,5,13,635.99,3,2023,4
1,Ryzen 5 7600  ,6,3.8,5.1,65,1,1,5,65,260.73,1,2023,2
1,Ryzen 7 7700  ,8,3.6,5.3,65,1,1,5,15,272.51,1,2023,3
1,Ryzen 7 7800X3D  ,8,4.2,5.0,120,1,1,5,208,369.0,1,2023,2
1,Ryzen 9 7900  ,12,3.6,5.4,65,1,1,5,11,368.99,1,2023,3
1,Ryzen 9 7900X3D  ,12,4.4,5.6,120,1,1,5,9,388.99,1,2023,3
1,Ryzen 9 7950X3D  ,16,4.2,5.7,120,1,1,5,25,591.89,1,2023,3
0,Core i5-13600K  ,14,3.5,5.1,125,2,1,5,90,297.99,3,2022,2
0,Core i5-13600KF  ,14,3.5,5.1,125,0,1,5,49,282.64,3,2022,2
0,Core i7-13700K  ,16,3.4,5.4,125,2,1,5,111,369.99,3,2022,3
0,Core i7-13700KF  ,16,3.4,5.4,125,0,1,5,21,349.99,3,2022,3
0,Core i9-13900K  ,24,3.0,5.8,125,2,1,5,59,522.99,3,2022,4
0,Core i9-13900KF  ,24,3.0,5.8,125,0,1,5,11,509.99,3,2022,4
0,Core i3-12100  ,4,3.3,4.3,60,8,1,5,13,116.99,4,2022,0
0,Core i3-12100F  ,4,3.3,4.3,58,0,1,5,43,94.98,4,2022,0
0,Core i5-12400  ,6,2.5,4.4,65,8,1,5,29,153.0,4,2022,0
0,Core i5-12400F  ,6,2.5,4.4,65,0,1,5,70,139.78,4,2022,0
0,Core i5-12500  ,6,3.0,4.6,65,2,1,5,3,195.99,4,2022,1
0,Core i5-12600  ,6,3.3,4.8,65,2,1,5,3,239.99,4,2022,1
0,Core i7-12700  ,12,2.1,4.9,65,2,1,5,7,265.49,4,2022,1
0,Core i7-12700F  ,12,2.1,4.9,65,0,1,5,9,250.0,4,2022,1
0,Core i9-12900  ,16,2.4,5.1,65,2,1,0,0,458.0,4,2022,2
0,Core i9-12900F  ,16,2.4,5.1,65,0,1,0,0,432.99,4,2022,2
1,Ryzen 3 4100  ,4,3.8,4.0,65,0,1,4,4,68.98,2,2022,0
0,Core i9-12900KS  ,16,3.4,5.5,150,2,1,5,5,409.99,4,2022,3
1,Ryzen 5 4500  ,6,3.6,4.1,65,0,1,5,11,78.5,2,2022,0
1,Ryzen 5 5500  ,6,3.6,4.2,65,0,1,5,35,89.99,2,2022,0
1,Ryzen 5 5600  ,6,3.5,4.4,65,0,1,5,128,134.99,2,2022,0
1,Ryzen 7 5700X  ,8,3.4,4.6,65,0,1,5,79,170.62,2,2022,1
1,Ryzen 7 5800X3D  ,8,3.4,4.5,105,0,1,5,90,294.0,2,2022,0
1,Ryzen 5 7600X  ,6,4.7,5.3,105,1,1,5,113,218.46,1,2022,3
1,Ryzen 7 7700X  ,8,4.5,5.4,105,1,1,5,91,288.41,1,2022,3
1,Ryzen 9 7900X  ,12,4.7,5.6,170,1,1,5,60,380.99,1,2022,3
1,Ryzen 9 7950X  ,16,4.5,5.7,170,1,1,5,34,549.99,1,2022,4
1,Ryzen 5 5600G  ,6,3.9,4.4,65,3,1,5,128,137.59,2,2021,1
1,Ryzen 7 5700G  ,8,3.8,4.6,65,4,1,5,46,166.26,2,2021,2
0,Core i5-12600K  ,10,3.7,4.9,125,2,1,5,136,187.99,4,2021,3
0,Core i5-12600KF  ,10,3.7,4.9,125,0,1,5,46,160.99,4,2021,3
0,Core i7-12700K  ,12,3.6,5.0,125,2,1,5,126,253.91,4,2021,3
0,Core i7-12700KF  ,12,3.6,5.0,125,0,1,5,35,247.99,4,2021,3
0,Core i9-12900K  ,16,3.2,5.2,125,2,1,5,52,376.76,4,2021,4
0,Core i9-12900KF  ,16,3.2,5.2,125,0,1,5,2,350.99,4,2021,4
0,Core i5-11400  ,6,2.6,4.4,65,8,1,5,35,150.94,4,2021,1
0,Core i5-11400F  ,6,2.6,4.4,65,0,1,5,23,113.0,4,2021,1
0,Core i5-11500  ,6,2.7,4.6,65,11,1,5,9,169.21,4,2021,2
0,Core i5-11600  ,6,2.8,4.8,65,11,1,5,2,150.0,4,2021,3
0,Core i5-11600K  ,6,3.9,4.9,125,11,1,5,34,197.4,4,2021,3
0,Core i5-11600KF  ,6,3.9,4.9,125,0,1,5,4,160.68,4,2021,3
0,Core i7-11700  ,8,2.5,4.9,65,11,1,5,10,215.99,4,2021,3
0,Core i7-11700F  ,8,2.5,4.9,65,0,1,5,2,213.02,4,2021,3
0,Core i7-11700K  ,8,3.6,5.0,125,11,1,5,38,241.04,4,2021,3
0,Core i7-11700KF  ,8,3.6,5.0,125,0,1,5,3,249.68,4,2021,3
