DIRECTX 12 GPUS,OCT,NOV,DEC,JAN,FEB,% Change
NVIDIA GeForce RTX 3060,10.17%,5.23%,5.53%,5.19%,6.39%,+1.20%
NVIDIA GeForce GTX 1650,3.72%,4.93%,4.90%,4.87%,4.38%,-0.49%
NVIDIA GeForce RTX 2060,6.22%,3.86%,3.87%,3.66%,4.27%,+0.61%
NVIDIA GeForce GTX 1060,5.23%,4.49%,4.06%,3.85%,4.06%,+0.21%
NVIDIA GeForce RTX 3070,5.31%,3.34%,3.49%,3.26%,3.99%,+0.73%
NVIDIA GeForce RTX 3060 Ti,5.08%,3.67%,3.67%,3.59%,3.96%,+0.37%
NVIDIA GeForce RTX 3060 Laptop GPU,2.81%,4.07%,3.63%,4.01%,3.59%,-0.42%
NVIDIA GeForce RTX 3050,2.13%,2.84%,2.73%,2.90%,2.71%,-0.19%
NVIDIA GeForce RTX 4060 Laptop GPU,1.44%,2.49%,2.11%,2.71%,2.68%,-0.03%
NVIDIA GeForce GTX 1050 Ti,2.51%,3.11%,2.98%,2.93%,2.64%,-0.29%
NVIDIA GeForce GTX 1660 SUPER,2.25%,2.56%,2.49%,2.40%,2.33%,-0.07%
NVIDIA GeForce RTX 3080,2.71%,2.30%,2.35%,2.27%,2.33%,+0.06%
NVIDIA GeForce RTX 4070,2.19%,1.28%,1.65%,1.62%,2.24%,+0.62%
NVIDIA GeForce RTX 4060,1.84%,0.86%,1.12%,1.27%,2.05%,+0.78%
AMD Radeon Graphics,1.54%,2.13%,2.26%,2.27%,2.04%,-0.23%
Intel Iris Xe Graphics,1.47%,2.00%,2.04%,2.13%,1.93%,-0.20%
NVIDIA GeForce RTX 4060 Ti,1.47%,0.91%,1.14%,1.26%,1.83%,+0.57%
NVIDIA GeForce GTX 1660 Ti,1.57%,1.88%,1.86%,1.84%,1.69%,-0.15%
NVIDIA GeForce RTX 3070 Ti,1.96%,1.56%,1.57%,1.54%,1.62%,+0.08%
NVIDIA GeForce RTX 2060 SUPER,1.77%,1.29%,1.30%,1.26%,1.52%,+0.26%
NVIDIA GeForce RTX 2070 SUPER,1.45%,1.41%,1.43%,1.37%,1.38%,+0.01%
NVIDIA GeForce RTX 4070 Ti,0.94%,1.13%,1.21%,1.29%,1.30%,+0.01%
NVIDIA GeForce GTX 1070,1.25%,1.57%,1.48%,1.43%,1.29%,-0.14%
NVIDIA GeForce GTX 1050,1.18%,1.48%,1.48%,1.44%,1.26%,-0.18%
NVIDIA GeForce GTX 1660,1.83%,1.11%,1.13%,1.04%,1.17%,+0.13%
NVIDIA GeForce RTX 2070,1.60%,1.01%,1.05%,0.97%,1.10%,+0.13%
NVIDIA GeForce RTX 3050 Ti Laptop GPU,0.81%,1.15%,1.10%,1.15%,1.03%,-0.12%
NVIDIA GeForce RTX 4090,0.64%,0.94%,0.94%,0.98%,0.94%,-0.04%
AMD Radeon(TM) Graphics,0.43%,0.72%,0.81%,0.91%,0.90%,-0.01%
AMD Radeon RX 580,0.76%,1.04%,1.01%,0.99%,0.88%,-0.11%
NVIDIA GeForce GTX 1080,0.87%,0.96%,0.95%,0.93%,0.83%,-0.10%
NVIDIA GeForce RTX 3080 Ti,0.70%,0.88%,0.87%,0.87%,0.80%,-0.07%
NVIDIA GeForce RTX 4080,0.66%,0.72%,0.77%,0.78%,0.80%,+0.02%
NVIDIA GeForce RTX 3070 Laptop GPU,0.64%,0.90%,0.84%,0.89%,0.79%,-0.10%
NVIDIA GeForce RTX 4050 Laptop GPU,0.39%,0.64%,0.61%,0.73%,0.73%,0.00%
