Name,Speed,Modules,Price/GB,First Word Latency,CAS Latency,Rating,Rating Count,Price
 Corsair Vengeance LPX 16 GB  ,DDR4-3200,2 x 8GB,$2.562,10 ns,16,5, 483,40.99
 Corsair Vengeance 32 GB  ,DDR5-5600,2 x 16GB,$3.625,12.857 ns,36,5, 57,115.99
 G.Skill Trident Z5 RGB 32 GB  ,DDR5-6000,2 x 16GB,$3.687,12 ns,36,5, 39,117.99
 Corsair Vengeance RGB Pro 32 GB  ,DDR4-3600,2 x 16GB,$3.062,10 ns,18,5, 85,97.99
 G.Skill Trident Z5 RGB 64 GB  ,DDR5-6400,2 x 32GB,$3.406,10 ns,32,5, 13,217.99
 Corsair Vengeance LPX 32 GB  ,DDR4-3600,2 x 16GB,$2.124,10 ns,18,5, 82,67.98
 G.Skill Flare X5 32 GB  ,DDR5-6000,2 x 16GB,$3.219,12 ns,36,5, 50,103.0
 Corsair Vengeance RGB 32 GB  ,DDR5-6000,2 x 16GB,$4.000,12 ns,36,5, 23,127.99
 TEAMGROUP T-Force Delta RGB 32 GB  ,DDR5-6000,2 x 16GB,$3.437,10 ns,30,5, 22,109.99
 Corsair Vengeance 32 GB  ,DDR5-6000,2 x 16GB,$3.593,10 ns,30,5, 12,114.99
 Corsair Vengeance RGB Pro 16 GB  ,DDR4-3200,2 x 8GB,$3.437,10 ns,16,5, 371,54.99
 TEAMGROUP T-Force Delta RGB 32 GB  ,DDR5-6000,2 x 16GB,$3.437,10 ns,30,5, 16,109.99
 Corsair Vengeance 16 GB  ,DDR5-5200,2 x 8GB,$4.396,15.385 ns,40,4, 2,70.33
 Corsair Vengeance RGB 32 GB  ,DDR5-6000,2 x 16GB,$4.218,13.333 ns,40,5, 16,134.99
 Silicon Power GAMING 16 GB  ,DDR4-3200,2 x 8GB,$2.186,10 ns,16,5, 40,34.97
 Corsair Vengeance LPX 16 GB  ,DDR4-3600,2 x 8GB,$2.562,10 ns,18,5, 119,40.99
 G.Skill Trident Z5 Neo RGB 32 GB  ,DDR5-6000,2 x 16GB,$3.687,10 ns,30,5, 48,117.99
 G.Skill Ripjaws V 32 GB  ,DDR4-3200,2 x 16GB,$2.187,10 ns,16,5, 117,69.98
 Corsair Vengeance 64 GB  ,DDR5-5200,2 x 32GB,$2.656,15.385 ns,40,5, 4,169.99
 G.Skill Ripjaws V 16 GB  ,DDR4-3200,2 x 8GB,$2.328,10 ns,16,5, 224,37.25
 G.Skill Ripjaws S5 32 GB  ,DDR5-6000,2 x 16GB,$3.062,10 ns,30,5, 23,97.99
 G.Skill Flare X5 32 GB  ,DDR5-6000,2 x 16GB,$3.343,10 ns,30,5, 27,106.99
 Corsair Vengeance RGB Pro SL 32 GB  ,DDR4-3600,2 x 16GB,$2.562,10 ns,18,5, 38,81.99
 TEAMGROUP T-Create Expert 32 GB  ,DDR5-6000,2 x 16GB,$2.906,10 ns,30,5, 13,92.99
 Corsair Vengeance LPX 32 GB  ,DDR4-3200,2 x 16GB,$1.968,10 ns,16,5, 41,62.99
 Corsair Vengeance RGB 32 GB  ,DDR5-6000,2 x 16GB,$3.593,12 ns,36,5, 10,114.99
 Corsair Dominator Titanium 64 GB  ,DDR5-6600,2 x 32GB,$4.844,9.697 ns,32,0, 0,309.99
 Silicon Power GAMING 32 GB  ,DDR4-3200,2 x 16GB,$1.718,10 ns,16,4, 13,54.97
