PHYSICAL CPUS (WINDOWS),OCT,NOV,DEC,JAN,FEB,% Change
1 cpu,0.07%,0.08%,0.08%,0.07%,0.06%,-0.01%
2 cpus,5.01%,6.35%,6.48%,6.16%,5.44%,-0.72%
3 cpus,0.25%,0.30%,0.29%,0.28%,0.27%,-0.01%
4 cpus,18.44%,22.49%,22.33%,21.98%,19.94%,-2.04%
5 cpus,0.02%,0.03%,0.03%,0.03%,0.03%,0.00%
6 cpus,40.54%,32.67%,32.95%,32.43%,34.91%,+2.48%
7 cpus,0.01%,0.01%,0.01%,0.01%,0.00%,-0.01%
8 cpus,17.82%,20.20%,20.04%,20.55%,19.84%,-0.71%
9 cpus,0.00%,0.00%,0.00%,0.00%,0.01%,+0.01%
10 cpus,5.36%,3.78%,3.95%,4.05%,5.05%,+1.00%
11 cpus,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
12 cpus,5.77%,5.11%,5.18%,5.17%,5.36%,+0.19%
13 cpus,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
14 cpus,2.56%,3.72%,3.44%,3.91%,3.79%,-0.12%
15 cpus,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
16 cpus,3.00%,2.95%,3.03%,3.12%,3.37%,+0.25%
17 cpus,-,-,-,0.00%,0.00%,0.00%
18 cpus,0.16%,0.63%,0.56%,0.40%,0.09%,-0.31%
20 cpus,0.02%,0.11%,0.17%,0.23%,0.37%,+0.14%
22 cpus,0.01%,0.03%,0.02%,0.01%,0.01%,0.00%
23 cpus,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
24 cpus,0.88%,1.32%,1.26%,1.50%,1.41%,-0.09%
26 cpus,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
28 cpus,0.03%,0.17%,0.13%,0.06%,0.01%,-0.05%
32 cpus,0.01%,0.02%,0.02%,0.02%,0.01%,-0.01%
36 cpus,0.02%,0.03%,0.01%,0.01%,0.00%,-0.01%
38 cpus,-,0.00%,0.00%,-,0.00%,0.00%
40 cpus,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
44 cpus,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
48 cpus,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
52 cpus,0.00%,-,0.00%,-,0.00%,0.00%
56 cpus,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
60 cpus,-,0.00%,0.00%,-,0.00%,0.00%
64 cpus,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
72 cpus,-,0.00%,0.00%,0.00%,0.00%,0.00%
96 cpus,0.00%,-,0.00%,-,0.00%,0.00%
104 cpus,-,-,-,-,0.00%,0.00%
128 cpus,0.00%,-,0.00%,-,0.00%,0.00%
176 cpus,-,-,-,-,0.00%,0.00%
