Name,Type,Efficiency,Wattage,Modular,Rating,Rating Count,Price
 Corsair RM750e ,ATX, Rating80+ Gold,750 W,Full,5, 69,$99.99
 Corsair RM850e ,ATX, Rating80+ Gold,850 W,Full,5, 42,$119.99
 Corsair RM1000e ,ATX, Rating80+ Gold,1000 W,Full,5, 26,$179.99
 Corsair RM850x ,ATX, Rating80+ Gold,850 W,Full,5, 174,$134.99
 Corsair CX650M ,ATX, Rating80+ Bronze,650 W,Semi,5, 16,$69.98
 Corsair RM650 ,ATX, Rating80+ Gold,650 W,Full,5, 1,$89.99
 Thermaltake Smart  ,ATX, Rating80+,500 W,No,4, 64,$39.95
 Corsair RM850  ,ATX, Rating80+ Gold,850 W,Full,5, 48,$139.99
 Corsair SF750  ,SFX, Rating80+ Platinum,750 W,Full,5, 228,$169.99
 Cooler Master MWE Gold 850 - V2  ,ATX, Rating80+ Gold,850 W,Full,5, 10,$94.99
 MSI MAG A650BN  ,ATX, Rating80+ Bronze,650 W,No,5, 3,$59.99
 Gigabyte UD750GM  ,ATX, Rating80+ Gold,750 W,Full,4, 25,$89.99
 MSI MAG A550BN  ,ATX, Rating80+ Bronze,550 W,No,5, 6,$49.99
 Corsair RM1000x ,ATX, Rating80+ Gold,1000 W,Full,5, 106,$173.48
 Asus ROG THOR 1600T Gaming  ,ATX, Rating80+ Titanium,1600 W,Full,0, 0,$631.99
 Thermaltake Smart  ,ATX, Rating80+,600 W,No,5, 35,$44.99
 MSI MAG A850GL PCIE5  ,ATX, Rating80+ Gold,850 W,Full,5, 9,$111.99
 Corsair SF850L  ,SFX, Rating80+ Gold,850 W,Full,5, 6,$128.99
 Thermaltake Toughpower GF1 ,ATX, Rating80+ Gold,750 W,Full,4, 1,$104.98
 Corsair HX1500i ,ATX, Rating80+ Platinum,1500 W,Full,5, 3,$339.99
 Corsair RM750x ,ATX, Rating80+ Gold,750 W,Full,5, 64,$119.99
 Apevia Galaxy  ,ATX, Rating80+ Gold,650 W,Semi,5, 2,$54.99
 MSI MAG A750GL PCIE5  ,ATX, Rating80+ Gold,750 W,Full,5, 7,$93.99
 Silverstone HELA  ,ATX, Rating,2050 W,Full,0, 0,$623.89
 Thermaltake Toughpower GX2  ,ATX, Rating80+ Gold,600 W,No,5, 22,$54.99
 Apevia Prestige  ,ATX, Rating80+ Gold,600 W,No,5, 4,$51.99
